iter	RMSE
0	14.36649408
1	13.42779789
2	12.59650425
3	11.91455939
4	11.22223051
5	10.61881421
6	10.12133563
7	9.801656398
8	9.343158575
9	8.935825276
10	8.544143725
11	8.224552214
12	7.924477041
13	7.657486418
14	7.451477766
15	7.258988476
16	7.050218459
17	6.881499634
18	6.743698357
19	6.599091352
20	6.463800189
21	6.346385037
22	6.24955676
23	6.141083779
24	6.069841641
25	5.995686148
26	5.92844234
27	5.865568665
28	5.810830137
29	5.767671032
30	5.718183555
31	5.687632955
32	5.652139069
33	5.617549637
34	5.591220676
35	5.558504285
36	5.531263222
37	5.492551268
38	5.471685024
39	5.442811112
40	5.424580237
41	5.414407553
42	5.391232671
43	5.375041745
44	5.356641041
45	5.338578245
46	5.324825719
47	5.312366365
48	5.291023245
49	5.273936475
50	5.270571211
51	5.256804798
52	5.238061393
53	5.230504673
54	5.228511912
55	5.209422333
56	5.196405838
57	5.187577505
58	5.169996018
59	5.156765028
60	5.144008494
61	5.134449205
62	5.119896873
63	5.102207653
64	5.09538088
65	5.080962198
66	5.066289492
67	5.050062281
68	5.04441538
69	5.037907437
70	5.02045779
71	5.013950216
72	4.995946734
73	4.987113017
74	4.975731736
75	4.96470838
76	4.956523113
77	4.949156524
78	4.943879311
79	4.93563609
80	4.921410436
81	4.91100018
82	4.903182836
83	4.886380744
84	4.878459356
85	4.859705327
86	4.851339059
87	4.84624045
88	4.835466641
89	4.823427721
90	4.813545931
91	4.80261323
92	4.800627377
93	4.778615806
94	4.764782027
95	4.758721485
96	4.749085185
97	4.733203204
98	4.724553045
99	4.716554549
