iter	Passed	Remaining
0	2	2877
1	3	1612
2	3	1173
3	3	951
4	4	815
5	4	720
6	4	661
7	5	624
8	5	585
9	5	556
10	5	532
11	6	509
12	6	493
13	6	475
14	7	463
15	7	450
16	7	442
17	7	432
18	8	425
19	8	417
20	8	410
21	9	404
22	9	398
23	9	392
24	9	388
25	10	386
26	10	381
27	10	377
28	11	374
29	11	370
30	11	366
31	11	362
32	12	360
33	12	356
34	12	353
35	13	351
36	13	348
37	13	348
38	14	346
39	14	344
40	14	342
41	14	339
42	15	338
43	15	335
44	15	334
45	16	332
46	16	330
47	16	328
48	16	328
49	17	326
50	17	325
51	17	324
52	18	322
53	18	320
54	18	320
55	18	319
56	19	320
57	19	318
58	19	317
59	20	316
60	20	315
61	21	325
62	21	323
63	22	325
64	22	328
65	23	327
66	23	325
67	23	325
68	24	324
69	24	322
70	24	321
71	24	319
72	25	318
73	25	317
74	25	315
75	25	314
76	26	313
77	26	312
78	26	311
79	26	310
80	27	309
81	27	308
82	27	307
83	28	306
84	28	305
85	28	304
86	28	303
87	29	302
88	29	302
89	29	302
90	30	301
91	30	300
92	30	300
93	31	299
94	31	298
95	31	298
96	31	297
97	32	296
98	32	295
99	32	295
100	33	294
101	33	293
102	33	292
103	33	291
104	34	290
105	34	290
106	34	290
107	35	291
108	35	290
109	35	290
110	36	290
111	36	290
112	37	292
113	37	291
114	37	291
115	38	291
116	38	290
117	38	290
118	39	289
119	39	288
120	39	287
121	39	287
122	40	286
123	40	286
124	40	286
125	41	285
126	41	284
127	41	284
128	42	283
129	42	281
130	42	281
131	42	280
132	42	280
133	43	279
134	43	278
135	43	278
136	44	278
137	44	277
138	44	277
139	45	276
140	45	276
141	45	275
142	45	274
143	46	274
144	46	273
145	46	274
146	47	274
147	47	275
148	48	275
149	48	276
150	49	275
151	49	275
152	49	274
153	49	273
154	50	273
155	50	272
156	50	272
157	50	271
158	51	271
159	51	271
160	52	271
161	52	270
162	52	269
163	52	269
164	53	272
165	54	271
166	54	271
167	54	270
168	54	270
169	55	269
170	55	268
171	55	267
172	55	267
173	56	266
174	56	266
175	56	266
176	57	265
177	57	265
178	57	264
179	57	264
180	58	264
181	58	263
182	58	263
183	59	262
184	59	262
185	59	261
186	60	261
187	60	261
188	60	260
189	61	260
190	61	260
191	61	259
192	62	259
193	62	258
194	62	258
195	62	257
196	63	257
197	63	256
198	63	256
199	63	255
200	64	255
201	64	254
202	64	254
203	64	253
204	65	252
205	65	252
206	65	251
207	66	251
208	66	250
209	66	250
210	66	250
211	67	249
212	67	249
213	67	248
214	68	248
215	68	247
216	68	246
217	68	246
218	68	245
219	69	245
220	69	244
221	69	244
222	70	244
223	70	243
224	70	243
225	70	242
226	71	242
227	71	242
228	71	241
229	72	241
230	72	240
231	72	240
232	72	239
233	73	239
234	73	238
235	73	238
236	73	237
237	74	237
238	74	236
239	74	236
240	74	235
241	75	235
242	75	235
243	75	235
244	76	235
245	76	234
246	76	234
247	77	234
248	77	234
249	77	233
250	78	233
251	78	233
252	78	232
253	79	232
254	79	232
255	79	231
256	80	231
257	80	230
258	80	230
259	80	230
260	81	229
261	81	229
262	81	228
263	81	228
264	82	227
265	82	227
266	82	227
267	83	227
268	83	226
269	83	226
270	84	225
271	84	225
272	84	225
273	84	224
274	85	224
275	85	223
276	85	223
277	85	223
278	86	222
279	86	222
280	86	221
281	86	221
282	87	221
283	87	221
284	87	220
285	88	220
286	88	219
287	88	219
288	88	218
289	89	218
290	89	218
291	89	217
292	90	217
293	90	217
294	90	216
295	91	216
296	91	216
297	91	216
298	92	215
299	92	215
300	92	215
301	93	214
302	93	214
303	93	214
304	93	213
305	94	213
306	94	213
307	94	212
308	94	212
309	95	212
310	95	211
311	95	211
312	96	211
313	96	211
314	96	210
315	97	210
316	97	210
317	97	209
318	98	209
319	98	209
320	98	208
321	98	208
322	99	207
323	99	207
324	99	207
325	100	206
326	100	206
327	100	205
328	100	205
329	101	205
330	101	204
331	101	204
332	101	204
333	102	203
334	102	203
335	102	203
336	103	202
337	103	202
338	103	202
339	104	201
340	104	201
341	104	201
342	104	200
343	105	200
344	105	200
345	105	200
346	106	200
347	106	199
348	107	199
349	107	199
350	107	198
351	107	198
352	108	198
353	108	197
354	108	197
355	108	197
356	109	196
357	109	196
358	109	195
359	110	195
360	110	195
361	110	194
362	110	194
363	111	194
364	111	193
365	111	193
366	111	192
367	112	192
368	112	192
369	112	191
370	112	191
371	113	191
372	113	190
373	113	190
374	113	189
375	114	189
376	114	189
377	114	189
378	115	188
379	115	188
380	115	188
381	116	187
382	116	187
383	116	187
384	117	186
385	117	186
386	117	186
387	117	185
388	118	185
389	118	185
390	118	184
391	119	184
392	119	184
393	119	184
394	119	183
395	120	183
396	120	183
397	120	182
398	121	182
399	121	182
400	121	181
401	121	181
402	122	181
403	122	180
404	122	180
405	123	180
406	123	179
407	123	179
408	123	179
409	124	178
410	124	178
411	124	178
412	125	177
413	125	177
414	125	177
415	125	176
416	126	176
417	126	176
418	126	175
419	127	175
420	127	175
421	127	174
422	127	174
423	128	174
424	128	173
425	128	173
426	129	173
427	129	173
428	129	172
429	129	172
430	130	171
431	130	171
432	130	171
433	131	171
434	131	170
435	131	170
436	132	170
437	132	169
438	132	169
439	132	169
440	133	168
441	133	168
442	133	168
443	133	167
444	134	167
445	134	167
446	134	166
447	135	166
448	135	166
449	135	165
450	136	165
451	136	165
452	136	164
453	136	164
454	137	164
455	137	163
